time,t2m_cel,trigger
2004-04-01,22.775,0
2004-04-02,23.35,0
2004-04-03,22.95,0
2004-04-04,24.1,0
2004-04-05,24.9,0
2004-04-06,26.15,0
2004-04-07,26.375000000000004,0
2004-04-08,26.025,0
2004-04-09,24.55,0
2004-04-10,24.95,0
2004-04-11,25.575,0
2004-04-12,25.325000000000003,0
2004-04-13,26.225,0
2004-04-14,27.225,0
2004-04-15,28.0,0
2004-04-16,27.200000000000003,0
2004-04-17,26.2,0
2004-04-18,25.575000000000003,0
2004-04-19,25.75,0
2004-04-20,26.65,0
2004-04-21,23.575000000000003,0
2004-04-22,24.9,0
2004-04-23,25.625,0
2004-04-24,26.65,0
2004-04-25,25.075000000000003,0
2004-04-26,26.025,0
2004-04-27,28.625,0
2004-04-28,27.9,0
2004-04-29,22.675,0
2004-04-30,21.55,0
2004-05-01,22.175,0
2004-05-02,21.775,0
2004-05-03,25.075000000000003,0
2004-05-04,27.975,0
2004-05-05,27.125,0
2004-05-06,27.325000000000003,0
2004-05-07,26.6,0
2004-05-08,28.35,0
2004-05-09,27.175,0
2004-05-10,28.05,0
2004-05-11,28.450000000000003,0
2004-05-12,28.95,0
2004-05-13,29.3,0
2004-05-14,28.575000000000003,0
2004-05-15,29.200000000000003,0
2004-05-16,28.725,0
2004-05-17,29.75,0
2004-05-18,31.925,0
2004-05-19,33.3,0
2004-05-20,33.375,0
2004-05-21,34.0,0
2004-05-22,33.95,0
2004-05-23,31.225,0
2004-05-24,30.991666666666667,0
2004-05-25,30.758333333333336,0
2004-05-26,30.525,0
2004-05-27,30.15,0
2004-05-28,28.45,0
2004-05-29,30.15,0
2004-05-30,31.6,0
2004-05-31,31.025,0
2004-06-01,30.1,0
2004-06-02,31.225,0
2004-06-03,32.45,0
2004-06-04,33.275,0
2004-06-05,33.375,0
2004-06-06,33.0,0
2004-06-07,28.35,0
2004-06-08,27.875,0
2004-06-09,26.925,0
2004-06-10,28.65,0
2004-06-11,29.6,0
2004-06-12,29.85,0
2004-06-13,30.85,0
2004-06-14,31.800000000000004,0
2004-06-15,31.7,0
2004-06-16,31.925,0
2004-06-17,33.325,0
2004-06-18,31.975,0
2004-06-19,31.975,0
2004-06-20,32.525000000000006,0
2004-06-21,32.425,0
2004-06-22,31.625,0
2004-06-23,31.5,0
2004-06-24,29.825000000000003,0
2004-06-25,27.875,0
2004-06-26,28.875,0
2004-06-27,28.95,0
2004-06-28,28.6,0
2004-06-29,29.9,0
2004-06-30,30.175000000000004,0
2004-07-01,31.35,0
2004-07-02,30.925,0
2004-07-03,30.3,0
2004-07-04,30.6,0
2004-07-05,31.0,0
2004-07-06,31.25,0
2004-07-07,31.8,0
2004-07-08,32.125,0
2004-07-09,29.625000000000004,0
2004-07-10,28.775,0
2004-07-11,29.275,0
2004-07-12,29.35,0
2004-07-13,28.775,0
2004-07-14,29.35,0
2004-07-15,29.925,0
2004-07-16,29.65,0
2004-07-17,29.125,0
2004-07-18,29.075,0
2004-07-19,28.675,0
2004-07-20,29.4,0
2004-07-21,29.5,0
2004-07-22,28.675,0
2004-07-23,28.65,0
2004-07-24,29.475,0
2004-07-25,30.525,0
2004-07-26,29.700000000000003,0
2004-07-27,29.875,0
2004-07-28,29.9,0
2004-07-29,28.55,0
2004-07-30,29.45,0
2004-07-31,27.125,0
2005-04-01,22.4,0
2005-04-02,24.05,0
2005-04-03,24.225,0
2005-04-04,24.45,0
2005-04-05,24.7,0
2005-04-06,23.775,0
2005-04-07,16.725,0
2005-04-08,14.374999999999998,0
2005-04-09,15.9,0
2005-04-10,19.0,0
2005-04-11,19.025,0
2005-04-12,20.0,0
2005-04-13,20.725,0
2005-04-14,21.225,0
2005-04-15,21.775,0
2005-04-16,23.15,0
2005-04-17,23.875,0
2005-04-18,25.025,0
2005-04-19,25.4,0
2005-04-20,25.875,0
2005-04-21,25.725,0
2005-04-22,25.1,0
2005-04-23,24.1,0
2005-04-24,23.575000000000003,0
2005-04-25,22.825000000000003,0
2005-04-26,23.700000000000003,0
2005-04-27,23.1,0
2005-04-28,20.925,0
2005-04-29,22.6875,0
2005-04-30,24.45,0
2005-05-01,23.925,0
2005-05-02,22.925,0
2005-05-03,22.375000000000004,0
2005-05-04,23.175,0
2005-05-05,24.675,0
2005-05-06,26.625,0
2005-05-07,27.275,0
2005-05-08,23.7,0
2005-05-09,24.750000000000004,0
2005-05-10,26.65,0
2005-05-11,28.225,0
2005-05-12,28.5,0
2005-05-13,28.35,0
2005-05-14,29.325000000000003,0
2005-05-15,29.675,0
2005-05-16,29.4,0
2005-05-17,30.025,0
2005-05-18,30.175,0
2005-05-19,29.025,0
2005-05-20,28.35,0
2005-05-21,25.4,0
2005-05-22,25.575000000000003,0
2005-05-23,25.975,0
2005-05-24,26.025,0
2005-05-25,26.625,0
2005-05-26,25.775,0
2005-05-27,26.225,0
2005-05-28,24.35,0
2005-05-29,24.675,0
2005-05-30,25.5,0
2005-05-31,26.85,0
2005-06-01,29.325000000000003,0
2005-06-02,29.875,0
2005-06-03,30.425000000000004,0
2005-06-04,32.525,0
2005-06-05,32.8,0
2005-06-06,31.7,0
2005-06-07,31.25,0
2005-06-08,30.8,0
2005-06-09,30.0,0
2005-06-10,28.625,0
2005-06-11,26.200000000000003,0
2005-06-12,26.8,0
2005-06-13,26.0,0
2005-06-14,26.125,0
2005-06-15,29.1,0
2005-06-16,31.275,0
2005-06-17,31.45,0
2005-06-18,31.275,0
2005-06-19,31.55,0
2005-06-20,31.675,0
2005-06-21,32.375,0
2005-06-22,32.825,0
2005-06-23,33.75,0
2005-06-24,33.8,0
2005-06-25,33.65,0
2005-06-26,33.625,0
2005-06-27,33.45,0
2005-06-28,33.474999999999994,0
2005-06-29,31.275,0
2005-06-30,30.675,0
2005-07-01,31.5,0
2005-07-02,31.475,0
2005-07-03,31.25,0
2005-07-04,31.175,0
2005-07-05,29.875,0
2005-07-06,28.65,0
2005-07-07,29.55,0
2005-07-08,30.15,0
2005-07-09,31.35,0
2005-07-10,32.7,0
2005-07-11,32.5,0
2005-07-12,30.775,0
2005-07-13,30.3,0
2005-07-14,30.3,0
2005-07-15,30.425,0
2005-07-16,30.15,0
2005-07-17,30.1,0
2005-07-18,30.575000000000003,0
2005-07-19,31.45,0
2005-07-20,31.95,0
2005-07-21,30.925000000000004,0
2005-07-22,31.75,0
2005-07-23,31.025,0
2005-07-24,30.75,0
2005-07-25,31.325,0
2005-07-26,32.725,0
2005-07-27,32.575,0
2005-07-28,30.925000000000004,0
2005-07-29,30.375000000000004,0
2005-07-30,30.45,0
2005-07-31,30.85,0
2006-04-01,21.775,0
2006-04-02,21.75,0
2006-04-03,22.5,0
2006-04-04,24.1,0
2006-04-05,25.875,0
2006-04-06,26.2625,0
2006-04-07,26.65,0
2006-04-08,25.775,0
2006-04-09,20.975,0
2006-04-10,20.775,0
2006-04-11,20.450000000000003,0
2006-04-12,20.8,0
2006-04-13,20.775,0
2006-04-14,17.725,0
2006-04-15,20.95,0
2006-04-16,22.25,0
2006-04-17,21.4,0
2006-04-18,23.225,0
2006-04-19,25.775,0
2006-04-20,24.6,0
2006-04-21,24.75,0
2006-04-22,26.025,0
2006-04-23,26.575,0
2006-04-24,27.6,0
2006-04-25,29.025,0
2006-04-26,28.9,0
2006-04-27,29.525,0
2006-04-28,29.425,0
2006-04-29,28.125,0
2006-04-30,27.625,0
2006-05-01,27.125,0
2006-05-02,28.0,0
2006-05-03,28.675,0
2006-05-04,30.4,0
2006-05-05,33.0,0
2006-05-06,33.7,0
2006-05-07,33.925,0
2006-05-08,33.225,0
2006-05-09,31.65,0
2006-05-10,31.5,0
2006-05-11,32.725,0
2006-05-12,32.85,0
2006-05-13,32.85,0
2006-05-14,31.9,0
2006-05-15,31.325000000000003,0
2006-05-16,30.25,0
2006-05-17,28.7,0
2006-05-18,29.675000000000004,0
2006-05-19,30.55,0
2006-05-20,31.075000000000003,0
2006-05-21,31.275,0
2006-05-22,31.175,0
2006-05-23,31.550000000000004,0
2006-05-24,32.1,0
2006-05-25,33.125,0
2006-05-26,33.4,0
2006-05-27,33.65,0
2006-05-28,32.849999999999994,0
2006-05-29,32.075,0
2006-05-30,31.975,0
2006-05-31,31.1,0
2006-06-01,29.975,0
2006-06-02,30.0,0
2006-06-03,28.175,0
2006-06-04,28.7,0
2006-06-05,27.525,0
2006-06-06,27.05,0
2006-06-07,27.625,0
2006-06-08,28.55,0
2006-06-09,28.175,0
2006-06-10,30.15,0
2006-06-11,30.475,0
2006-06-12,30.25,0
2006-06-13,29.25,0
2006-06-14,29.175,0
2006-06-15,30.725,0
2006-06-16,31.025,0
2006-06-17,28.25,0
2006-06-18,28.175,0
2006-06-19,28.125,0
2006-06-20,29.075,0
2006-06-21,29.825000000000003,0
2006-06-22,31.0,0
2006-06-23,31.6,0
2006-06-24,32.2,0
2006-06-25,33.1,0
2006-06-26,31.875,0
2006-06-27,31.875,0
2006-06-28,29.725,0
2006-06-29,31.15,0
2006-06-30,30.15,0
2006-07-01,31.125,0
2006-07-02,32.650000000000006,0
2006-07-03,32.975,0
2006-07-04,33.6,0
2006-07-05,33.4,0
2006-07-06,32.5,0
2006-07-07,32.65,0
2006-07-08,33.75,0
2006-07-09,33.4,0
2006-07-10,31.65,0
2006-07-11,31.5,0
2006-07-12,31.45,0
2006-07-13,31.3,0
2006-07-14,27.975,0
2006-07-15,29.025,0
2006-07-16,30.0,0
2006-07-17,29.375,0
2006-07-18,30.55,0
2006-07-19,29.875,0
2006-07-20,31.25,0
2006-07-21,30.5,0
2006-07-22,31.425,0
2006-07-23,31.05,0
2006-07-24,31.6,0
2006-07-25,30.15,0
2006-07-26,30.125000000000004,0
2006-07-27,29.075,0
2006-07-28,29.950000000000003,0
2006-07-29,28.700000000000003,0
2006-07-30,28.625,0
2006-07-31,29.0,0
2007-04-01,19.975,0
2007-04-02,20.075000000000003,0
2007-04-03,20.75,0
2007-04-04,22.525,0
2007-04-05,24.225,0
2007-04-06,23.075000000000003,0
2007-04-07,23.5,0
2007-04-08,23.65,0
2007-04-09,24.525,0
2007-04-10,26.25,0
